Stock	Year	Spawners	Recruits
Early Stuart	1952	0.010859	0.088572
Early Stuart	1953	0.168458	0.540597
Early Stuart	1954	0.025658	0.155482
Early Stuart	1955	0.029785	0.027456
Early Stuart	1956	0.015484	0.107428
Early Stuart	1957	0.078238	1.219035
Early Stuart	1958	0.01801	0.102352
Early Stuart	1959	0.001397	0.020835
Early Stuart	1960	0.016661	0.074127
Early Stuart	1961	0.119273	0.254331
Early Stuart	1962	0.022196	0.073653
Early Stuart	1963	0.001297	0.092222
Early Stuart	1964	0.007401	0.038889
Early Stuart	1965	0.087782	0.416779
Early Stuart	1966	0.014103	0.08304
Early Stuart	1967	0.00259	0.33927
Early Stuart	1968	0.0013	0.010412
Early Stuart	1969	0.011241	1.370633
Early Stuart	1970	0.005959	0.179544
Early Stuart	1971	0.011167	0.430503
Early Stuart	1972	0.000795	0.032207
Early Stuart	1973	0.048796	1.346407
Early Stuart	1974	0.015806	0.143525
Early Stuart	1975	0.04561	0.222859
Early Stuart	1976	0.002253	0.031834
Early Stuart	1977	0.153876	0.761122
Early Stuart	1978	0.02161	0.07265
Early Stuart	1979	0.026252	0.107696
Early Stuart	1980	0.006792	0.063491
Early Stuart	1981	0.053363	0.350095
Early Stuart	1982	0.020004	0.027803
Early Stuart	1983	0.03617	0.187709
Early Stuart	1984	0.007361	0.239403
Early Stuart	1985	0.071485	1.205936
Early Stuart	1986	0.002158	0.145883
Early Stuart	1987	0.013121	0.525912
Early Stuart	1988	0.021868	0.379236
Early Stuart	1989	0.118124	1.137681
Early Stuart	1990	0.01516	0.166084
Early Stuart	1991	0.075524	0.143773
Early Stuart	1992	0.088071	0.100366
Early Stuart	1993	0.211041	1.813936
Early Stuart	1994	0.047065	0.029024
Early Stuart	1995	0.085456	0.18958
Early Stuart	1996	0.036565	0.464146
Early Stuart	1997	0.386806	0.14737
Early Stuart	1998	0.014499	0.02869
Early Stuart	1999	0.057342	0.030566
Early Stuart	2000	0.041063	0.135874
Early Stuart	2001	0.073416	0.252001
Early Stuart	2002	0.009332	0.024566
Early Stuart	2003	0.008189	0.010019
Early Stuart	2004	0.035333	0.037464
Early Stuart	2005	0.082852	0.083971
Early Stuart	2006	0.012921	0.108697
Early Stuart	2007	0.006932	0.012675
Early Stuart	2008	0.005181	0.192957
Early Stuart	2009	0.051153	0.19093
Early Stuart	2010	0.015914	0.136228
Early Stuart	2011	0.002376	0.002493
Early Stuart	2012	0.014446	0.01973
Early Stuart	2013	0.021884	0.026887
Early Stuart	2014	0.034198	0.110462
Early Stuart	2015	0.000233	0.005269
Early Stuart	2016	0.006812	0.018839
Early Stuart	2017	0.039658	0.082332
Early Stuart	2018	0.023298	0.239542
Late Stuart	1953	0.039085	1.549542
Late Stuart	1954	0.001834	0.137815
Late Stuart	1955	0.001246	0.051316
Late Stuart	1956	0.000016	0.046102
Late Stuart	1957	0.078686	1.32901
Late Stuart	1958	0.002687	0.054005
Late Stuart	1959	0.003274	0.007325
Late Stuart	1960	0.000466	0.00959
Late Stuart	1961	0.300038	0.77792
Late Stuart	1962	0.013152	0.045024
Late Stuart	1963	0.00409	0.012024
Late Stuart	1964	0.001307	0.003041
Late Stuart	1965	0.194461	1.1242
Late Stuart	1966	0.009073	0.073805
Late Stuart	1967	0.001092	0.016332
Late Stuart	1968	0.000824	0.031299
Late Stuart	1969	0.122786	1.62278
Late Stuart	1970	0.004164	0.07052
Late Stuart	1971	0.000897	0.065527
Late Stuart	1972	0.000179	0.018766
Late Stuart	1973	0.1143	0.663965
Late Stuart	1974	0.008027	0.049861
Late Stuart	1975	0.000725	0.214575
Late Stuart	1976	0.003411	0.003339
Late Stuart	1977	0.116703	1.357637
Late Stuart	1978	0.007371	0.078748
Late Stuart	1979	0.005679	0.006854
Late Stuart	1980	0.001674	0.02144
Late Stuart	1981	0.075962	2.033901
Late Stuart	1982	0.007115	0.060796
Late Stuart	1983	0.016711	0.017912
Late Stuart	1984	0.000287	0.014522
Late Stuart	1985	0.120124	3.499874
Late Stuart	1986	0.008681	0.816297
Late Stuart	1987	0.001451	0.379087
Late Stuart	1988	0.000672	0.207234
Late Stuart	1989	0.159048	5.306868
Late Stuart	1990	0.015045	0.389339
Late Stuart	1991	0.002392	0.109227
Late Stuart	1992	0.003638	0.135399
Late Stuart	1993	0.327098	3.760174
Late Stuart	1994	0.111747	0.11544
Late Stuart	1995	0.0402	0.132088
Late Stuart	1996	0.012422	1.022393
Late Stuart	1997	1.184283	0.430814
Late Stuart	1998	0.040705	0.27695
Late Stuart	1999	0.017181	0.133599
Late Stuart	2000	0.027297	0.911116
Late Stuart	2001	0.415149	0.505314
Late Stuart	2002	0.067834	0.125932
Late Stuart	2003	0.0338	0.021772
Late Stuart	2004	0.22624	0.282698
Late Stuart	2005	0.179534	0.119496
Late Stuart	2006	0.01782	0.173596
Late Stuart	2007	0.019208	0.01372
Late Stuart	2008	0.05131	0.190246
Late Stuart	2009	0.164548	0.247185
Late Stuart	2010	0.014283	0.319951
Late Stuart	2011	0.004144	0.003937
Late Stuart	2012	0.057881	0.033669
Late Stuart	2013	0.043271	0.234216
Late Stuart	2014	0.043476	0.326843
Late Stuart	2015	0.000778	0.009565
Late Stuart	2016	0.031771	0.011511
Late Stuart	2017	0.070946	0.496766
Late Stuart	2018	0.027869	0.211004
Stellako	1952	0.009242	0.110678
Stellako	1953	0.040231	0.174215
Stellako	1954	0.07741	1.207988
Stellako	1955	0.051413	0.629768
